name,cycles,treasurer_name,committee_type,committee_type_full,filing_frequency,designation,designation_full,organization_type,organization_type_full,affiliated_committee_name,party,party_full,state,committee_id,candidate_ids,first_file_date,last_file_date,last_f1_date
COMMITTEE TO ELECT DAVID B WAMSLEY,{2014},BRENDA WAMSLEY,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,WV,C00560557,{S4WV00233},2014-03-26,2014-07-16,2014-03-26
GARY GLENN FOR US SENATE,{2012},ANNETTE W GLENN,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MI,C00500819,{S2MI00219},2011-08-18,2012-11-07,2012-09-24
TOM FOLEY FOR US SENATE,"{2000,2002}",FRANK M VACCARO JR,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,PA,C00344804,{S8PA00189},1999-04-20,2001-12-18,2000-03-31
SWANSON FOR U S SENATE COMMITTEE,"{2000,2002,2004,2006,2008,2010}","SWANSON, JOHNNY III",S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,AL,C00359695,{S0AL00149},2000-05-18,2010-01-22,2006-08-16
AL OLSZEWSKI FOR US SENATE,{2018},"KUNEY, LORNA",S,Senate,T,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,MT,C00639476,{S8MT00200},2017-04-29,2018-10-25,2017-04-29
BENTON FOR SENATE,"{2010,2012}",SHARON MOAK,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,WA,C00475699,{S0WA00282},2010-02-16,2011-02-15,2010-07-16
FRIENDS OF JAY WOLFE COMMITTEE,{2008},NATHAN J WOLFE,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,WV,C00448217,{S8WV00093},2008-04-04,2008-12-02,2008-04-04
HUTCHINSON FOR U S SENATE COMMITTEE,{1986},BARBARA A WILCOX,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,HI,C00206706,{S6HI00156},1986-05-12,1987-05-01,1986-05-12
COMMITTEE TO ELECT EDDIE WHITE TO THE US SENATE,"{2018,2020}","WHITE, JOE E MR. JR",S,Senate,Q,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,SC,C00690982,{S8SC00134},2018-11-05,2018-11-05,2018-11-05
FRIENDS FOR JOE RHODES,"{1980,1982,1984}",THOMAS B SCHMIDT III,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,PA,C00110023,{S0PA00046},1979-05-18,1983-12-15,1980-02-04
SENATOR BEN BAGERT COMMITTEE TO PUT LOUISIANA FIRST,"{1990,1992,1994,1996}",CARROLL M CHIASSON,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,LA,C00239251,{S0LA00055},1989-10-26,1996-03-08,1993-02-02
YANNARELLI FOR UNITED STATES SENATE,"{1982,1984}",MICHAEL J DONOW,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,NJ,C00144758,{S2NJ00056},1981-09-08,1983-08-17,1981-09-08
COMMITTEE TO ELECT TOM PALZER US SENATE 2016,"{2016,2018}",THOMAS EDWARD PALZER,S,Senate,T,A,Authorized by a candidate,,,,REP,REPUBLICAN PARTY,CA,C00576512,{S6CA00675},2015-04-21,2017-05-13,2015-05-18
COMMITTEE FOR ADRIAN OCEGUEDA,{2020},"OCEGUEDA, ADRIAN",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,TX,C00693705,{S0TX00225},2019-01-11,2019-07-12,2019-02-01
FRIENDS OF BILL JANKLOW,{1986},JOHN SHAEFFER,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,SD,C00201889,{S6SD00010},1986-01-31,1986-09-05,1986-01-31
WAYNE SOWELL CAMPAIGN COMMITTEE,"{2002,2004}",MIRKO DEWAYNE SOWELL,S,Senate,T,A,Authorized by a candidate,,,,DEM,DEMOCRATIC PARTY,AL,C00380253,{S2AL00087},2002-04-10,2003-05-30,2002-04-10
BYRON BUSH FOR US SENATE,"{1994,1996}",RODNEY A HAVILAND,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,TN,C00285320,{S4TN00161},1993-11-08,1995-02-22,1993-11-08
DERRICK BLANTON IN SUPPORT OF WORKING FAMILIES,{2018},"BRATTON, LORELI",S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,CO,C00637629,{S0CO00427},2017-04-13,2018-05-04,2017-07-14
GREG CONLON FOR US SENATE,"{2016,2018}",THOMAS MONTGOMERY,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,CA,C00612093,{S2CA00740},2016-03-15,2018-06-08,2018-05-15
SENATOR JOHN WARE CAMPAIGN COMMITTEE,"{1980,1982}",GEORGE E TORNWALL,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,FL,C00131862,{S0FL00163},1980-07-15,1981-12-31,1980-07-21
CITIZENS FOR BRAD KLIPPERT - U S SENATE,"{2006,2008,2010,2012,2014,2016,2018}",DAVE BORDERS,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,WA,C00427609,{S4WA00482},2006-08-18,2018-04-26,2006-11-06
